Uterechse straet,10,3,11,3,,,,,,
Verckens merct,5,3,6,3,3,3,,,,
Slyck straet,9,2,9,2,,,,,,
Koe straet,8,2,2,2,,,,,,
In den Haeg,9,1,3,1,1,3,,,,
Merrien hoof,3,2,4,2,,,,,,
Helle voet,7,2,10,2,17,2,6,1,11,2
St. Joris straet,11,1,5,1,,,,,,
Muelen straet,7,2,13,2,,,,,,
Davids hof,12,3,10,2,,,,,,
Op 't Speuy,10,3,,,,,,,,
Doelen,3,3,,,,,,,,
Bloemendaelse straet,13,3,14,3,5,3,6,3,,
Waale straet,8,3,7,2,,,,,,
Walker straet,8,1,3,1,3,2,7,2,,
De Tuyt,8,1,5,1,5,2,4,1,,
Cingel,5,3,3,4,7,3,,,,
St. Aechten straet,5,2,,,,,,,,
Tuytsteeg,7,2,6,2,,,,,,
Coppelstraet,8,2,,,,,,,,
Potstraet,3,1,5,1,,,,,,
Die Camp,16,3,18,3,11,3,12,3,,
St. Ians straet,7,2,11,2,9,2,,,,
Trysgens,5,1,,,,,,,,
Die Coninc straet,9,1,10,1,6,2,9,2,7,2
Oly straetje,5,1,2,1,4,2,3,1,,
Lange gracht,5,4,6,4,6,4,,,,
Paternoster straetje,9,2,5,2,,,,,,
Breestraat,28,3,16,4,4,3,6,4,,
Lievevrouwe kerch,5,4,9,5,7,4,5,4,,
Die lange straet1,5,4,8,4,,,,,,
Die lange straet2,7,4,,,,,,,,
Scherbier straet,10,3,5,3,,,,,,
Muurhuysen1,19,4,10,4,,,,,,
Die lange straet3,9,3,10,4,8,4,16,4,14,3
Corte gracht,9,3,11,3,,,,,,
Mooierstraet,2,2,4,2,,,,,,
Nieu straet,11,2,7,2,,,,,,
Stoof straet,7,2,6,2,,,,,,
Goetscalcstraet,1,3,5,3,,,,,,
Muurhuysen2,17,5,4,5,9,4,9,4,,
Op Havick1,19,5,,,,,,,,
Op Havick2,11,3,,,,,,,,
De Vyver,5,2,6,2,,,,,,
Cromme straet,8,2,9,3,23,3,11,4,,
Marcktgang,5,3,7,4,3,3,,,,
Den Hof,5,3,6,3,8,4,9,4,,
Appel Marckt,4,2,5,2,,,,,,
Papenhofstede,4,2,5,2,,,,,,
Kerckstraet,6,2,2,2,8,2,,,,
